data1,,,data2,
trait,range,,,
range_p_norm,0.27407008,,,
range_np_norm,0.049711927,,,
range_n_norm,0.502270981,,,
range_p_norm,0.655611023,,,
range_np_norm,0.187230269,,,
range_n_norm,0.390213952,,,
range_p_norm,0.38557536,,,
range_np_norm,0.161572318,,,
range_n_norm,0.112301903,,,
range_p_norm,0.57633834,,,
range_np_norm,0.187230269,,,
range_n_norm,0.158662672,,,
range_p_norm,0.12575311,,,
range_np_norm,0.149126354,,,
range_n_norm,0.177821652,,,
range_p_norm,0.075640847,,,
range_np_norm,0.176793342,,,
range_n_norm,0.028168295,,,
range_p_norm,0.060410894,,,
range_np_norm,0.123755729,,,
range_n_norm,0.259437469,,,
range_p_norm,0.10117248,,,
range_np_norm,0.087631006,,,
range_n_norm,0.408896789,,,
range_p_norm,0.531690433,,,
range_np_norm,0.348386881,,,
range_n_norm,0.16469208,,,
range_p_norm,0.162846408,,,
range_np_norm,0.243134537,,,
range_n_norm,0.15378522,,,
range_p_norm,0.062814777,,,
range_np_norm,0.282397954,,,
range_n_norm,0.317666204,,,
range_p_norm,0.200846957,,,
range_np_norm,0.172263503,,,
range_n_norm,0.319247757,,,
range_p_norm,0.145674281,,,
range_np_norm,0.337562785,,,
range_n_norm,0.394534787,,,
range_p_norm,0.57633834,,,
range_np_norm,0.223577054,,,
range_n_norm,0.83818263,,,
range_p_norm,0.757591373,,,
range_np_norm,0.317731381,,,
range_n_norm,0.83818263,,,
range_p_norm,0.757591373,,,
range_np_norm,0.317731381,,,
range_n_norm,0.401900828,,,
range_p_norm,0.516302794,,,
range_np_norm,0.233828711,,,
range_n_norm,0.126362333,,,
range_p_norm,0.131415607,,,
range_np_norm,0.098838498,,,
range_n_norm,0.380028619,,,
range_p_norm,0.540786298,,,
range_np_norm,0.294896786,,,
range_n_norm,0.409000153,,,
range_p_norm,0.352321546,,,
range_np_norm,0.081602563,,,
range_n_norm,0.494777577,,,
range_p_norm,0.334164069,,,
range_np_norm,0.165570204,,,
range_n_norm,0.396543708,,,
range_p_norm,0.476041036,,,
range_np_norm,0.215742744,,,
range_n_norm,0.061423392,,,
range_p_norm,0.264666806,,,
range_np_norm,0.081602563,,,
range_n_norm,0.51384698,,,
range_p_norm,0.259145343,,,
range_np_norm,0.171481739,,,
range_n_norm,0.050079663,,,
range_p_norm,0.049133366,,,
range_np_norm,0.182011883,,,
range_n_norm,0.372126816,,,
range_p_norm,0.164943495,,,
range_np_norm,0.462268541,,,
range_n_norm,0.105126729,,,
range_p_norm,0.050722919,,,
range_np_norm,0.34320057,,,
range_n_norm,0.08167065,,,
range_p_norm,0.017113703,,,
range_np_norm,0.068878263,,,
range_n_norm,0.073959258,,,
range_p_norm,0.026012828,,,
range_np_norm,0.346362486,,,
range_n_norm,0.342861187,,,
range_p_norm,0.483462098,,,
range_np_norm,0.211763712,,,
range_n_norm,0.648283187,,,
range_p_norm,0.927075047,,,
range_np_norm,0.565955267,,,
range_n_norm,0.096480027,,,
range_p_norm,0.28134927,,,
range_np_norm,0.09985377,,,
range_n_norm,0.542347885,,,
range_p_norm,0.834145605,,,
range_np_norm,0.088728671,,,
range_n_norm,0.646169923,,,
range_p_norm,1.276106392,,,
range_np_norm,0.616945418,,,
range_n_norm,0.561411054,,,
range_p_norm,0.804163571,,,
range_np_norm,0.520166457,,,
range_n_norm,0.158831383,,,
range_p_norm,0.136560517,,,
range_np_norm,0.255521432,,,
range_n_norm,0.330947233,,,
range_p_norm,0.196919625,,,
range_np_norm,0.003701959,,,
range_n_norm,0.461223019,,,
range_p_norm,0.48458844,,,
range_np_norm,0.153211373,,,
range_n_norm,0.461223019,,,
range_p_norm,0.48458844,,,
range_np_norm,0.153211373,,,
range_n_norm,0.421676171,,,
range_p_norm,0.147124118,,,
range_np_norm,0.063617771,,,
range_n_norm,0.096392398,,,
range_p_norm,0.16645928,,,
range_np_norm,0.182624079,,,
range_n_norm,0.128526675,,,
range_p_norm,0.170279462,,,
range_np_norm,0.060105088,,,
