data1,,,data2,
trait,range,,,
range_n_norm,0.015632996,,,
range_p_norm,0.041863033,,,
range_np_norm,0.010648678,,,
range_n_norm,0.089108357,,,
range_p_norm,0.131469511,,,
range_np_norm,0.231691633,,,
range_n_norm,0.089108357,,,
range_p_norm,0.131469511,,,
range_np_norm,0.231691633,,,
range_n_norm,0.197005991,,,
range_p_norm,0.528512787,,,
range_np_norm,0.434053226,,,
range_n_norm,0.015600394,,,
range_p_norm,0.422912598,,,
range_np_norm,0.333842917,,,
range_n_norm,0.015600394,,,
range_p_norm,0.422912598,,,
range_np_norm,0.333842917,,,
range_n_norm,0.3099188,,,
range_p_norm,0.380977546,,,
range_np_norm,0.655508324,,,
range_n_norm,0.482274214,,,
range_p_norm,0.446526092,,,
range_np_norm,0.564543781,,,
range_n_norm,0.482274214,,,
range_p_norm,0.446526092,,,
range_np_norm,0.564543781,,,
range_n_norm,0.267378852,,,
range_p_norm,0.07989777,,,
range_np_norm,0.38810879,,,
range_n_norm,0.326232511,,,
range_p_norm,0.201830497,,,
range_np_norm,0.444273615,,,
range_n_norm,0.207384522,,,
range_p_norm,0.030157328,,,
range_np_norm,0.308847159,,,
range_n_norm,0.74730311,,,
range_p_norm,0.486045218,,,
range_np_norm,0.595254031,,,
range_n_norm,0.223426282,,,
range_p_norm,0.080943048,,,
range_np_norm,0.167735578,,,
range_n_norm,0.132197265,,,
range_p_norm,0.142550076,,,
range_np_norm,0.431077855,,,
range_n_norm,0.54016173,,,
range_p_norm,0.371908696,,,
range_np_norm,0.645558273,,,
range_n_norm,0.642057256,,,
range_p_norm,0.432659151,,,
range_np_norm,0.794356521,,,
range_n_norm,0.325516293,,,
range_p_norm,0.195717724,,,
range_np_norm,0.540756182,,,
range_n_norm,0.511533674,,,
range_p_norm,0.347810438,,,
range_np_norm,0.603244578,,,
range_n_norm,0.511533674,,,
range_p_norm,0.347810438,,,
range_np_norm,0.603244578,,,
range_n_norm,0.700773719,,,
range_p_norm,0.244795583,,,
range_np_norm,0.566925106,,,
range_n_norm,0.455209503,,,
range_p_norm,0.062116323,,,
range_np_norm,0.351667639,,,
range_n_norm,0.107220015,,,
range_p_norm,0.330408356,,,
range_np_norm,0.510611353,,,
range_n_norm,0.310409937,,,
range_p_norm,0.51378266,,,
range_np_norm,0.582934836,,,
range_n_norm,0.076488809,,,
range_p_norm,0.096747008,,,
range_np_norm,0.27359332,,,
range_n_norm,0.352072435,,,
range_p_norm,0.133965714,,,
range_np_norm,0.245278577,,,
range_n_norm,0.463491732,,,
range_p_norm,0.321471766,,,
range_np_norm,0.507562972,,,
range_n_norm,0.463491732,,,
range_p_norm,0.321471766,,,
range_np_norm,0.507562972,,,
range_n_norm,0.494813766,,,
range_p_norm,0.182785444,,,
range_np_norm,0.395312248,,,
range_n_norm,0.700773719,,,
range_p_norm,0.37249034,,,
range_np_norm,0.360242336,,,
range_n_norm,0.301739407,,,
range_p_norm,0.19725536,,,
range_np_norm,0.380393115,,,
range_n_norm,0.301739407,,,
range_p_norm,0.19725536,,,
range_np_norm,0.380393115,,,
range_n_norm,0.501872666,,,
range_p_norm,0.492794272,,,
range_np_norm,0.618377653,,,
range_n_norm,0.501872666,,,
range_p_norm,0.492794272,,,
range_np_norm,0.618377653,,,
range_n_norm,0.338526213,,,
range_p_norm,0.473727355,,,
range_np_norm,0.530807567,,,
range_n_norm,0.493341707,,,
range_p_norm,0.136826308,,,
range_np_norm,0.678603484,,,
range_n_norm,0.318847716,,,
range_p_norm,0.181721611,,,
range_np_norm,0.217029082,,,
range_n_norm,0.488334641,,,
range_p_norm,0.113187604,,,
range_np_norm,0.315261635,,,
range_n_norm,0.259250664,,,
range_p_norm,0.141730631,,,
range_np_norm,0.203145958,,,
range_n_norm,0.207120024,,,
range_p_norm,0.300024773,,,
range_np_norm,0.357265572,,,
range_n_norm,0.132440748,,,
range_p_norm,0.168533892,,,
range_np_norm,0.333748029,,,
range_n_norm,0.010181828,,,
range_p_norm,0.045752078,,,
range_np_norm,0.096097068,,,
range_n_norm,0.232591661,,,
range_p_norm,0.422931637,,,
range_np_norm,0.446517602,,,
range_n_norm,0.256766975,,,
range_p_norm,0.123998178,,,
range_np_norm,0.327755736,,,
range_n_norm,0.256766975,,,
range_p_norm,0.123998178,,,
range_np_norm,0.327755736,,,
range_n_norm,0.160762008,,,
range_p_norm,0.176747077,,,
range_np_norm,0.307104824,,,
range_n_norm,0.492665723,,,
range_p_norm,0.714069822,,,
range_np_norm,0.560149227,,,
range_n_norm,0.295667436,,,
range_p_norm,0.742327462,,,
range_np_norm,0.639012698,,,
range_n_norm,0.376831208,,,
range_p_norm,0.679882358,,,
range_np_norm,0.993321529,,,
range_n_norm,0.622058808,,,
range_p_norm,0.536824898,,,
range_np_norm,0.4317772,,,
range_n_norm,0.500587999,,,
range_p_norm,0.360630414,,,
range_np_norm,0.117638605,,,
range_n_norm,0.581001294,,,
range_p_norm,1.066095605,,,
range_np_norm,1.050289972,,,
range_n_norm,0.131776645,,,
range_p_norm,0.108911391,,,
range_np_norm,0.182904123,,,
range_n_norm,0.2991476,,,
range_p_norm,0.347421363,,,
range_np_norm,0.324111224,,,
range_n_norm,0.309816189,,,
range_p_norm,0.410983373,,,
range_np_norm,0.194135448,,,
range_n_norm,0.309816189,,,
range_p_norm,0.410983373,,,
range_np_norm,0.194135448,,,
range_n_norm,0.367101821,,,
range_p_norm,0.362120194,,,
range_np_norm,0.1226411,,,
range_n_norm,0.367101821,,,
range_p_norm,0.361565488,,,
range_np_norm,0.122337645,,,
range_n_norm,0.321884387,,,
range_p_norm,0.365448429,,,
range_np_norm,0.086509875,,,
range_n_norm,0.644543937,,,
range_p_norm,1.2496074,,,
range_np_norm,0.605521474,,,
range_n_norm,0.46204,,,
range_p_norm,0.702524812,,,
range_np_norm,1.079487183,,,
range_n_norm,0.662505033,,,
range_p_norm,0.633517668,,,
range_np_norm,0.461439644,,,
range_n_norm,0.575675852,,,
range_p_norm,0.143537799,,,
range_np_norm,0.208639853,,,
range_n_norm,0.227462761,,,
range_p_norm,0.07966459,,,
range_np_norm,0.144335028,,,
range_n_norm,0.098936086,,,
range_p_norm,0.249944053,,,
range_np_norm,0.204440116,,,
range_n_norm,0.644562174,,,
range_p_norm,0.320030233,,,
range_np_norm,0.267299172,,,
range_n_norm,0.644562174,,,
range_p_norm,0.320030233,,,
range_np_norm,0.267299172,,,
range_n_norm,0.58755904,,,
range_p_norm,0.317112511,,,
range_np_norm,0.246788641,,,
range_n_norm,0.659217892,,,
range_p_norm,0.352040124,,,
range_np_norm,0.312858866,,,
range_n_norm,0.724841622,,,
range_p_norm,0.159894291,,,
range_np_norm,0.23230606,,,
range_n_norm,0.510456628,,,
range_p_norm,0.495304182,,,
range_np_norm,0.726087394,,,
range_n_norm,0.182215154,,,
range_p_norm,0.117846015,,,
range_np_norm,0.202699119,,,
range_n_norm,0.338927772,,,
range_p_norm,0.296358698,,,
range_np_norm,0.099987208,,,
range_n_norm,0.433439083,,,
range_p_norm,0.298004142,,,
range_np_norm,0.279988251,,,
range_n_norm,0.468680513,,,
range_p_norm,0.713928135,,,
range_np_norm,0.301361105,,,
range_n_norm,0.421315663,,,
range_p_norm,0.294671353,,,
range_np_norm,0.182763922,,,
range_n_norm,0.171427061,,,
range_p_norm,0.30791446,,,
range_np_norm,0.094621928,,,
range_n_norm,0.670122672,,,
range_p_norm,0.40089586,,,
range_np_norm,0.196091444,,,
range_n_norm,0.998795174,,,
range_p_norm,0.391618976,,,
range_np_norm,0.214882018,,,
range_n_norm,0.62444223,,,
range_p_norm,0.251605938,,,
range_np_norm,0.297912838,,,
range_n_norm,0.074413391,,,
range_p_norm,0.054857919,,,
range_np_norm,0.184785363,,,
range_n_norm,0.081875119,,,
range_p_norm,0.160922869,,,
range_np_norm,0.159625531,,,
range_n_norm,0.4252853,,,
range_p_norm,0.457287806,,,
range_np_norm,0.758565902,,,
range_n_norm,0.07554023,,,
range_p_norm,0.187047809,,,
range_np_norm,0.582429396,,,
range_n_norm,0.187055712,,,
range_p_norm,0.186815107,,,
range_np_norm,0.206805499,,,
range_n_norm,0.734126171,,,
range_p_norm,0.401898767,,,
range_np_norm,0.086522392,,,
range_n_norm,0.420130448,,,
range_p_norm,0.301449718,,,
range_np_norm,0.219013545,,,
range_n_norm,0.373379977,,,
range_p_norm,0.365985992,,,
range_np_norm,0.328117241,,,
range_n_norm,0.012563958,,,
range_p_norm,0.060367591,,,
range_np_norm,0.165609816,,,
range_n_norm,0.323913063,,,
range_p_norm,0.402050501,,,
range_np_norm,0.45218658,,,
range_n_norm,0.103168039,,,
range_p_norm,0.501417791,,,
range_np_norm,0.376994037,,,
range_n_norm,0.586519917,,,
range_p_norm,0.28618903,,,
range_np_norm,0.368898873,,,
range_n_norm,0.202755201,,,
range_p_norm,0.255491705,,,
range_np_norm,0.194740372,,,
range_n_norm,0.517344403,,,
range_p_norm,0.229405217,,,
range_np_norm,0.138160275,,,
range_n_norm,0.476436504,,,
range_p_norm,0.215453033,,,
range_np_norm,0.368254588,,,
range_n_norm,0.476436504,,,
range_p_norm,0.215453033,,,
range_np_norm,0.368254588,,,
range_n_norm,0.444068724,,,
range_p_norm,0.227865415,,,
range_np_norm,0.488393088,,,
range_n_norm,0.444068724,,,
range_p_norm,0.227865415,,,
range_np_norm,0.488393088,,,
range_n_norm,0.378560734,,,
range_p_norm,0.267082904,,,
range_np_norm,0.267738226,,,
range_n_norm,0.419689838,,,
range_p_norm,0.10053672,,,
range_np_norm,0.136749555,,,
range_n_norm,0.419689838,,,
range_p_norm,0.10053672,,,
range_np_norm,0.136749555,,,
range_n_norm,0.341493911,,,
range_p_norm,0.455235675,,,
range_np_norm,0.29215131,,,
range_n_norm,0.891336236,,,
range_p_norm,0.424595203,,,
range_np_norm,0.453059556,,,
range_n_norm,0.266651119,,,
range_p_norm,0.228653968,,,
range_np_norm,0.398820091,,,
range_n_norm,0.531475903,,,
range_p_norm,0.276587294,,,
range_np_norm,0.443134811,,,
range_n_norm,0.317142911,,,
range_p_norm,0.140450411,,,
range_np_norm,0.222973077,,,
range_n_norm,0.48419473,,,
range_p_norm,0.396542849,,,
range_np_norm,0.299749267,,,
range_n_norm,0.287312877,,,
range_p_norm,0.053386195,,,
range_np_norm,0.164170186,,,
range_n_norm,0.26426549,,,
range_p_norm,0.256975861,,,
range_np_norm,0.146223229,,,
range_n_norm,0.37254691,,,
range_p_norm,0.230083752,,,
range_np_norm,0.204300421,,,
range_n_norm,0.179241798,,,
range_p_norm,0.071449359,,,
range_np_norm,0.076049563,,,
range_n_norm,0.160484579,,,
range_p_norm,0.030462391,,,
range_np_norm,0.09861475,,,
range_n_norm,0.204013393,,,
range_p_norm,0.391085016,,,
range_np_norm,0.114279743,,,
range_n_norm,0.204013393,,,
range_p_norm,0.391085016,,,
range_np_norm,0.114279743,,,
range_n_norm,0.204013393,,,
range_p_norm,0.391085016,,,
range_np_norm,0.114279743,,,
range_n_norm,0.565158873,,,
range_p_norm,0.480291832,,,
range_np_norm,0.516279907,,,
range_n_norm,0.509584428,,,
range_p_norm,0.297328379,,,
range_np_norm,0.329629399,,,
range_n_norm,0.266752216,,,
range_p_norm,0.107185996,,,
range_np_norm,0.568494817,,,
range_n_norm,0.190396396,,,
range_p_norm,0.06753508,,,
range_np_norm,0.407220678,,,
range_n_norm,0.159985092,,,
range_p_norm,0.076874752,,,
range_np_norm,0.034974163,,,
range_n_norm,0.203695421,,,
range_p_norm,0.276290075,,,
range_np_norm,0.185338337,,,
range_n_norm,0.502629837,,,
range_p_norm,0.276290075,,,
range_np_norm,0.234362601,,,
range_n_norm,0.62297307,,,
range_p_norm,0.345869255,,,
range_np_norm,0.130674929,,,
range_n_norm,0.5145123,,,
range_p_norm,0.482928948,,,
range_np_norm,0.338900485,,,
range_n_norm,0.353129651,,,
range_p_norm,0.250365718,,,
range_np_norm,0.078774405,,,
range_n_norm,0.23018624,,,
range_p_norm,0.331135834,,,
range_np_norm,0.31610551,,,
range_n_norm,0.813633208,,,
range_p_norm,0.586511005,,,
range_np_norm,0.565096816,,,
range_n_norm,0.295584315,,,
range_p_norm,0.234476332,,,
range_np_norm,0.112819989,,,
range_n_norm,0.417283108,,,
range_p_norm,0.470364877,,,
range_np_norm,0.359332235,,,
range_n_norm,0.307330705,,,
range_p_norm,0.92197764,,,
range_np_norm,0.418017959,,,
range_n_norm,0.607671251,,,
range_p_norm,0.911588138,,,
range_np_norm,0.363166385,,,
range_n_norm,0.346448813,,,
range_p_norm,0.264666806,,,
range_np_norm,0.184970893,,,
range_n_norm,0.376398568,,,
range_p_norm,0.563557171,,,
range_np_norm,0.291073856,,,
range_n_norm,0.405449522,,,
range_p_norm,0.847443859,,,
range_np_norm,0.458090712,,,
range_n_norm,0.354844725,,,
range_p_norm,0.963968142,,,
range_np_norm,0.453930846,,,
range_n_norm,0.149197906,,,
range_p_norm,0.098848746,,,
range_np_norm,0.056431742,,,
range_n_norm,0.149197906,,,
range_p_norm,0.098848746,,,
range_np_norm,0.056431742,,,
range_n_norm,0.229936918,,,
range_p_norm,0.335352695,,,
range_np_norm,0.111911178,,,
range_n_norm,0.154324349,,,
range_p_norm,0.492055492,,,
range_np_norm,0.614672501,,,
range_n_norm,0.153387723,,,
range_p_norm,0.17722041,,,
range_np_norm,0.290864876,,,
range_n_norm,0.585340414,,,
range_p_norm,0.317349316,,,
range_np_norm,0.282377266,,,
range_n_norm,0.155887803,,,
range_p_norm,0.496175665,,,
range_np_norm,0.604364548,,,
range_n_norm,0.030643704,,,
range_p_norm,0.435131638,,,
range_np_norm,0.375523171,,,
range_n_norm,0.60396005,,,
range_p_norm,0.396689547,,,
range_np_norm,0.252089882,,,
range_n_norm,0.444712591,,,
range_p_norm,0.307824444,,,
range_np_norm,0.100097235,,,
range_n_norm,0.474468726,,,
range_p_norm,0.659139213,,,
range_np_norm,0.203943289,,,
range_n_norm,0.342651651,,,
range_p_norm,0.304674937,,,
range_np_norm,0.197229318,,,
range_n_norm,0.201647567,,,
range_p_norm,0.440292825,,,
range_np_norm,0.307963377,,,
range_n_norm,0.367306618,,,
range_p_norm,0.420140523,,,
range_np_norm,0.303445239,,,
range_n_norm,0.206501963,,,
range_p_norm,0.299397353,,,
range_np_norm,0.272396474,,,
range_n_norm,0.385028827,,,
range_p_norm,0.448473807,,,
range_np_norm,0.20266217,,,
range_n_norm,0.664787016,,,
range_p_norm,0.200570682,,,
range_np_norm,0.386189323,,,
range_n_norm,0.246452403,,,
range_p_norm,0.143603721,,,
range_np_norm,0.368254588,,,
range_n_norm,0.317008487,,,
range_p_norm,0.104520267,,,
range_np_norm,0.294224661,,,
range_n_norm,0.258729783,,,
range_p_norm,0.066823008,,,
range_np_norm,0.399124973,,,
range_n_norm,0.109568307,,,
range_p_norm,0.139838582,,,
range_np_norm,0.335143409,,,
range_n_norm,0.207243655,,,
range_p_norm,0.258844752,,,
range_np_norm,0.115174131,,,
range_n_norm,0.355950989,,,
range_p_norm,0.142091635,,,
range_np_norm,0.186620612,,,
range_n_norm,0.416024999,,,
range_p_norm,0.204299994,,,
range_np_norm,0.306808669,,,
range_n_norm,0.485522269,,,
range_p_norm,0.303602095,,,
range_np_norm,0.308757534,,,
range_n_norm,0.048944716,,,
range_p_norm,0.179078138,,,
range_np_norm,0.056227384,,,
range_n_norm,0.3432501,,,
range_p_norm,0.356004645,,,
range_np_norm,0.045493979,,,
range_n_norm,0.394452512,,,
range_p_norm,0.217457292,,,
range_np_norm,0.076133031,,,
range_n_norm,0.465808712,,,
range_p_norm,0.351713023,,,
range_np_norm,0.185770141,,,
range_n_norm,0.693098054,,,
range_p_norm,0.207339684,,,
range_np_norm,0.137152176,,,
range_n_norm,0.414834763,,,
range_p_norm,0.51608722,,,
range_np_norm,0.136222447,,,
range_n_norm,0.551737292,,,
range_p_norm,0.192705788,,,
range_np_norm,0.037308563,,,
range_n_norm,0.145794928,,,
range_p_norm,0.463242419,,,
range_np_norm,0.401251253,,,
range_n_norm,0.4228271,,,
range_p_norm,0.528970576,,,
range_np_norm,0.490099408,,,
range_n_norm,0.416738954,,,
range_p_norm,0.345857878,,,
range_np_norm,0.247851073,,,
range_n_norm,0.4664094,,,
range_p_norm,0.496448977,,,
range_np_norm,0.44321342,,,
range_n_norm,0.502051616,,,
range_p_norm,0.163669648,,,
range_np_norm,0.347572403,,,
range_n_norm,0.706646741,,,
range_p_norm,0.237135636,,,
range_np_norm,0.200506708,,,
range_n_norm,0.421620266,,,
range_p_norm,0.357238096,,,
range_np_norm,0.180170753,,,
range_n_norm,0.188476348,,,
range_p_norm,0.197224668,,,
range_np_norm,0.180366545,,,
range_n_norm,0.014686047,,,
range_p_norm,0.259900097,,,
range_np_norm,0.264574632,,,
range_n_norm,0.404585183,,,
range_p_norm,0.212666277,,,
range_np_norm,0.330480498,,,
range_n_norm,0.153439172,,,
range_p_norm,0.071547423,,,
range_np_norm,0.010631742,,,
range_n_norm,0.181099321,,,
range_p_norm,0.309599725,,,
range_np_norm,0.203282758,,,
range_n_norm,0.520628493,,,
range_p_norm,0.662571884,,,
range_np_norm,0.347947689,,,
range_n_norm,0.692472372,,,
range_p_norm,0.364830355,,,
range_np_norm,0.17772806,,,
range_n_norm,0.179162615,,,
range_p_norm,0.174230872,,,
range_np_norm,0.046687715,,,
range_n_norm,0.454457037,,,
range_p_norm,0.388244611,,,
range_np_norm,0.207560934,,,
range_n_norm,0.428310047,,,
range_p_norm,0.368546745,,,
range_np_norm,0.261666826,,,
range_n_norm,0.459149183,,,
range_p_norm,0.291523288,,,
range_np_norm,0.268927029,,,
range_n_norm,0.503134175,,,
range_p_norm,0.519662827,,,
range_np_norm,0.384396854,,,
range_n_norm,0.086101399,,,
range_p_norm,0.140420426,,,
range_np_norm,0.046687715,,,
range_n_norm,0.827808891,,,
range_p_norm,0.544398624,,,
range_np_norm,0.446927608,,,
range_n_norm,0.279580254,,,
range_p_norm,0.311143083,,,
range_np_norm,0.20804681,,,
range_n_norm,0.183672199,,,
range_p_norm,0.13468898,,,
range_np_norm,0.126444247,,,
range_n_norm,0.469874143,,,
range_p_norm,0.572313118,,,
range_np_norm,0.421254935,,,
range_n_norm,0.181589595,,,
range_p_norm,0.310134641,,,
range_np_norm,0.203759163,,,
range_n_norm,0.181099321,,,
range_p_norm,0.309599725,,,
range_np_norm,0.203282758,,,
