pred,coef,tval,pval
map,-0.026810575,-2.9060403,0.003663671
ndep,0.047131699,16.6106345,1.28439E-61
cwdx80,-0.003575897,-1.1726734,0.2409384
elv,-0.019523571,-5.4751097,4.41598E-08
TP,0.001353502,0.5152056,0.6064141
tmonthmin,0.09106267,15.4209047,2.13032E-53
mai,0.016485504,3.1563989,0.001599267
mapgs,0.058842747,5.8849845,4.03351E-09
co2,0.016632216,5.5701448,2.5724E-08
,,,
