level,pred,rsq
1,elv,0.46287132073254167
1,mat,0.4616989466839133
1,matgs,0.463223510614739
1,tmonthmin,0.463358488256664
1,tmonthmax,0.46304345173866285
1,ndaysgs,0.4616083493011743
1,mai,0.46088896322209766
1,maigs,0.46231799114907846
1,map,0.46325498829777456
1,pmonthmin,0.462282453401644
1,mapgs,0.46235159874513143
1,mavgs,0.46313407881386365
1,mav,0.4636765430101316
1,alpha,0.4626618817788329
1,vcmax25,0.46308515271212175
1,jmax25,0.4626961863722442
1,gs_accl,0.46168848756792097
1,aet,0.4631252100319604
1,ai,0.46302149147853316
1,cwdx80,0.4616854993244531
1,gti,0.46467817956731106
1,ndep,0.4599206255089923
1,co2,0.4559341920917548
1,T_BULK_DENSITY,0.46378593842885735
1,AWC_CLASS,0.4634146649237867
1,T_CLAY,0.4642888761960637
1,T_SILT,0.46368776243870335
1,T_SAND,0.46235611668542037
1,T_GRAVEL,0.463478840039039
1,T_PH_H2O,0.4645628443513861
1,T_TEB,0.4630698311515558
1,T_BS,0.4638039859099926
1,T_CEC_SOIL,0.4638466886086388
1,T_CEC_CLAY,0.4633222433496149
1,T_ECE,0.4641244553255391
1,T_ESP,0.46397881057715623
1,T_CACO3,0.4637909273767286
1,T_OC,0.4632799564612806
1,ORGC,0.46396397169869646
1,TOTN,0.46336773245211293
1,CNrt,0.46299175791772174
1,ALSA,0.4631636279220107
1,PBR,0.46250186418556777
1,TP,0.46415013078445555
1,TK,0.4663118375733609
2,elv,0.4653254967858207
2,mat,0.4648780107139085
2,matgs,0.46491729734292714
2,tmonthmin,0.4654370805981344
2,tmonthmax,0.46707713796140804
2,ndaysgs,0.4652918413761072
2,mai,0.4629185428984623
2,maigs,0.46479992606738885
2,map,0.46674038218497815
2,pmonthmin,0.4666805724290431
2,mapgs,0.46740527782692837
2,mavgs,0.46684018096526797
2,mav,0.4649069179636013
2,alpha,0.4651136630719473
2,vcmax25,0.46542600179069527
2,jmax25,0.46526067567049373
2,gs_accl,0.46448331110052826
2,aet,0.4650218269399612
2,ai,0.46611050256010933
2,cwdx80,0.46480925651480665
2,gti,0.46687663262181817
2,ndep,0.46178670768811036
2,co2,0.4583552951665127
2,T_BULK_DENSITY,0.4658360146204629
2,AWC_CLASS,0.4654584387161831
2,T_CLAY,0.4652515903299161
2,T_SILT,0.4660450641104081
2,T_SAND,0.4659821066632345
2,T_GRAVEL,0.4668094769940356
2,T_PH_H2O,0.4664957991371469
2,T_TEB,0.46640018496198293
2,T_BS,0.46526226441044144
2,T_CEC_SOIL,0.46634602276191295
2,T_CEC_CLAY,0.46595450175962627
2,T_ECE,0.466010253090104
2,T_ESP,0.4659372140276023
2,T_CACO3,0.4663271131518598
2,T_OC,0.46636854853470805
2,ORGC,0.46648350922339366
2,TOTN,0.4661637422134852
2,CNrt,0.4659801521750163
2,ALSA,0.46588992069565033
2,PBR,0.46490131634676474
2,TP,0.4660337544126108
3,elv,0.4665092330612191
3,mat,0.4659675236800069
3,matgs,0.46604931687863205
3,tmonthmin,0.46486203771453405
3,tmonthmax,0.46583424333320267
3,ndaysgs,0.4657978334534709
3,mai,0.46274126665642185
3,maigs,0.4646637863713481
3,map,0.46670469206371695
3,pmonthmin,0.4658950066326952
3,mavgs,0.46630827092232163
3,mav,0.46624739065872095
3,alpha,0.4662996432716801
3,vcmax25,0.4658582770247621
3,jmax25,0.4659820527762949
3,gs_accl,0.46548486315734605
3,aet,0.4654562254932564
3,ai,0.4665724182210582
3,cwdx80,0.4652624756656996
3,gti,0.46626670105935875
3,ndep,0.4622881244842173
3,co2,0.4589919099792919
3,T_BULK_DENSITY,0.4663074901035679
3,AWC_CLASS,0.46562837437731003
3,T_CLAY,0.4668336976421054
3,T_SILT,0.46733908808352664
3,T_SAND,0.4674850321361403
3,T_GRAVEL,0.46668543507652277
3,T_PH_H2O,0.4665348974319288
3,T_TEB,0.4669701057729918
3,T_BS,0.4666693311067969
3,T_CEC_SOIL,0.46804468854798087
3,T_CEC_CLAY,0.4671770010641496
3,T_ECE,0.4665471552003517
3,T_ESP,0.46708354754275294
3,T_CACO3,0.46773413705240957
3,T_OC,0.46705857619565644
3,ORGC,0.4670733841053055
3,TOTN,0.4667015651544609
3,CNrt,0.4675510193264608
3,ALSA,0.46628778745574834
3,PBR,0.46544369939994334
3,TP,0.46629082138914685
4,elv,0.4643543033958046
4,mat,0.4650751993557535
4,matgs,0.4649256260998055
4,tmonthmin,0.46469601371811947
4,tmonthmax,0.46696166677332934
4,ndaysgs,0.46627177821738225
4,mai,0.46398126580341564
4,maigs,0.46620521274645554
4,map,0.4668721975839496
4,pmonthmin,0.4666218733035655
4,mavgs,0.4655118834144066
4,mav,0.4664581713642288
4,alpha,0.46564654289506163
4,vcmax25,0.4664329827492839
4,jmax25,0.4662033656388688
4,gs_accl,0.46535329511524565
4,aet,0.4657066013073321
4,ai,0.4658733203774161
4,cwdx80,0.4642676280967592
4,gti,0.46630370131689797
4,ndep,0.4610444598693276
4,co2,0.4593548911734949
4,T_BULK_DENSITY,0.46767845517708784
4,AWC_CLASS,0.46664745553821707
4,T_CLAY,0.46718030808857464
4,T_SILT,0.46741859849913037
4,T_SAND,0.4678377168026029
