level,pred,rsq,vip
1,elv,0.3251557309418897,-0.005913745567431239
1,mat,0.32851900457998773,-0.009277019205529258
1,matgs,0.32624742569869275,-0.00700544032423428
1,tmonthmin,0.32433472583570155,-0.005092740461243084
1,tmonthmax,0.3258463122769124,-0.006604326902453939
1,ndaysgs,0.3248890455989682,-0.005647060224509726
1,mai,0.3240055793447103,-0.004763593970251834
1,maigs,0.32667606604602256,-0.007434080671564092
1,map,0.32639839964622014,-0.0071564142717616686
1,pmonthmin,0.32493979943184675,-0.005697814057388284
1,mapgs,0.3259115660605465,-0.006669580686088028
1,mavgs,0.3265416772519207,-0.007299691877462211
1,mav,0.3258838123489856,-0.006641826974527143
1,alpha,0.32610313376284894,-0.00686114838839047
1,vcmax25,0.32598462548248663,-0.006742640108028164
1,jmax25,0.32649334411281844,-0.00725135873835997
1,gs_accl,0.3264571274199044,-0.0072151420454459325
1,aet,0.3280975858341653,-0.008855600459706847
1,ai,0.3232854524784384,-0.004043467103979903
1,cwdx80,0.3224057615094721,-0.0031637761350136184
1,gti,0.3256658131821875,-0.006423827807729043
1,ndep,0.3220225917656945,-0.002780606391236007
1,co2,0.3229184055290747,-0.0036764201546162223
1,T_BULK_DENSITY,0.32686955501785825,-0.007627569643399779
1,AWC_CLASS,0.3256392543468406,-0.006397268972382131
1,T_CLAY,0.32642364993926126,-0.007181664564802792
1,T_SILT,0.32521397531145496,-0.005971989936996491
1,T_SAND,0.3250625896464997,-0.00582060427204123
1,T_GRAVEL,0.3255145620143848,-0.006272576639926308
1,T_PH_H2O,0.3259596237021547,-0.006717638327696229
1,T_TEB,0.3259643815118302,-0.0067223961373717445
1,T_BS,0.32523305001922487,-0.005991064644766397
1,T_CEC_SOIL,0.3265874729240621,-0.007345487549603624
1,T_CEC_CLAY,0.3254484503813893,-0.006206465006930839
1,T_ECE,0.32430126172629703,-0.00505927635183856
1,T_ESP,0.32508614098125826,-0.005844155606799795
1,T_CACO3,0.32437553522362494,-0.005133549849166474
1,T_OC,0.32533131530529386,-0.006089329930835385
1,ORGC,0.32547009724229276,-0.006228111867834285
1,TOTN,0.32495575657722053,-0.0057137712027620635
1,CNrt,0.32631963714616735,-0.007077651771708882
1,ALSA,0.32472968181116885,-0.0054876964367103764
1,PBR,0.3234036268907159,-0.004161641516257419
1,TP,0.32584639434557355,-0.006604408971115083
1,TK,0.32659141308311074,-0.0073494277086522675
