level,pred,rsq,vip
1,elv,0.46287132073254167,-0.00644020806191109
1,mat,0.4616989466839133,-0.005267834013282735
1,matgs,0.463223510614739,-0.006792397944108408
1,tmonthmin,0.463358488256664,-0.006927375586033402
1,tmonthmax,0.46304345173866285,-0.006612339068032269
1,ndaysgs,0.4616083493011743,-0.005177236630543702
1,mai,0.46088896322209766,-0.00445785055146708
1,maigs,0.46231799114907846,-0.005886878478447877
1,map,0.46325498829777456,-0.006823875627143983
1,pmonthmin,0.462282453401644,-0.005851340731013399
1,mapgs,0.46235159874513143,-0.0059204860745008525
1,mavgs,0.46313407881386365,-0.006702966143233069
1,mav,0.4636765430101316,-0.0072454303395010355
1,alpha,0.4626618817788329,-0.006230769108202305
1,vcmax25,0.46308515271212175,-0.0066540400414911716
1,jmax25,0.4626961863722442,-0.0062650737016136104
1,gs_accl,0.46168848756792097,-0.00525737489729039
1,aet,0.4631252100319604,-0.006694097361329809
1,ai,0.46302149147853316,-0.006590378807902586
1,cwdx80,0.4616854993244531,-0.005254386653822496
1,gti,0.46467817956731106,-0.008247066896680477
1,ndep,0.4599206255089923,-0.0034895128383617413
1,co2,0.4559341920917548,4.969205788757924e-4
1,T_BULK_DENSITY,0.46378593842885735,-0.007354825758226768
1,AWC_CLASS,0.4634146649237867,-0.006983552253156111
1,T_CLAY,0.4642888761960637,-0.007857763525433104
1,T_SILT,0.46368776243870335,-0.007256649768072776
1,T_SAND,0.46235611668542037,-0.005925004014789792
1,T_GRAVEL,0.463478840039039,-0.0070477273684084185
1,T_PH_H2O,0.4645628443513861,-0.008131731680755538
1,T_TEB,0.4630698311515558,-0.006638718480925232
1,T_BS,0.4638039859099926,-0.007372873239362032
1,T_CEC_SOIL,0.4638466886086388,-0.007415575938008234
1,T_CEC_CLAY,0.4633222433496149,-0.006891130678984336
1,T_ECE,0.4641244553255391,-0.007693342654908508
1,T_ESP,0.46397881057715623,-0.007547697906525652
1,T_CACO3,0.4637909273767286,-0.0073598147060980335
1,T_OC,0.4632799564612806,-0.006848843790650039
1,ORGC,0.46396397169869646,-0.007532859028065886
1,TOTN,0.46336773245211293,-0.006936619781482356
1,CNrt,0.46299175791772174,-0.006560645247091157
1,ALSA,0.4631636279220107,-0.006732515251380133
1,PBR,0.46250186418556777,-0.006070751514937189
1,TP,0.46415013078445555,-0.007719018113824971
1,TK,0.4663118375733609,-0.009880724902730342
