sitename,year_start,year_end,lon,lat,elv
i_-1.5_53.4_99,1990,2015,-1.5,53.4,99
i_-1.5116343_42.6165092_902,1990,2015,-1.5116343,42.6165092,902
i_-1.5118116_40.4819831_1482,1990,2015,-1.5118116,40.4819831,1482
i_-1.523447_53.8937247_84,1990,2015,-1.523447,53.8937247,84
i_-1.523611_48.188056_81,1990,2015,-1.523611,48.188056,81
i_-1.5259028_39.4811204_679,1990,2015,-1.5259028,39.4811204,679
i_-1.5410303_48.2172121_98,1990,2015,-1.5410303,48.2172121,98
i_-1.544722_48.211111_85,1990,2015,-1.544722,48.211111,85
i_-1.5477083_39.6189074_649,1990,2015,-1.5477083,39.6189074,649
i_-1.55_6.55_325,2001,2001,-1.55,6.55,325
i_-1.5792_53.38162_100,1969,1974,-1.5792,53.38162,100
i_-1.5792_53.38162_250,1995,1995,-1.5792,53.38162,250
i_-1.5927475_43.034394_1005,1990,2015,-1.5927475,43.034394,1005
i_-1.5961739_37.7507077_710,1990,2015,-1.5961739,37.7507077,710
i_-1.5980604_39.9007077_1192,1990,2015,-1.5980604,39.9007077,1192
i_-1.63_38.27_325,1999,2001,-1.63,38.27,325
i_-1.6571582_50.8436966_46,1990,2015,-1.6571582,50.8436966,46
i_-1.6574074_51.3771826_161,1990,2015,-1.6574074,51.3771826,161
i_-1.670278_40.49_1653,1990,2015,-1.670278,40.49,1653
i_-1.673548_50.9435353_97,1990,2015,-1.673548,50.9435353,97
i_-1.6994213_40.4639398_1711,1990,2015,-1.6994213,40.4639398,1711
i_-1.7_42.05_313,1990,2015,-1.7,42.05,313
i_-1.7238492_53.3941137_325,1990,2015,-1.7238492,53.3941137,325
i_-1.7283009_40.6015555_1668,1990,2015,-1.7283009,40.6015555,1668
i_-1.7333069_42.7357804_705,1990,2015,-1.7333069,42.7357804,705
i_-1.746111_53.425_294,1990,2015,-1.746111,53.425,294
i_-1.7623194_39.744875_1000,1990,2015,-1.7623194,39.744875,1000
i_-1.7738478_38.7364421_889,1990,2015,-1.7738478,38.7364421,889
i_-1.7795151_40.8828485_1188,1990,2015,-1.7795151,40.8828485,1188
i_-1.78_43.32_100,1989,1989,-1.78,43.32,100
i_-1.791389_47.55_50,1990,2015,-1.791389,47.55,50
i_-1.7922389_43.0163723_697,1990,2015,-1.7922389,43.0163723,697
i_-1.8133472_40.0266667_1127,1990,2015,-1.8133472,40.0266667,1127
i_-1.815413_43.1534517_576,1990,2015,-1.815413,43.1534517,576
i_-1.8286435_38.0153102_835,1990,2015,-1.8286435,38.0153102,835
i_-1.842058_40.1642875_1464,1990,2015,-1.842058,40.1642875,1464
i_-1.8645463_40.3018982_1529,1990,2015,-1.8645463,40.3018982,1529
i_-1.8832802_41.4452198_835,1990,2015,-1.8832802,41.4452198,835
i_-1.8935972_40.4457315_1603,1990,2015,-1.8935972,40.4457315,1603
i_-1.908889_51.608889_93,1990,2015,-1.908889,51.608889,93
i_-1.9233333_54.6601709_277,1990,2015,-1.9233333,54.6601709,277
i_-1.9485648_39.7266667_1016,1990,2015,-1.9485648,39.7266667,1016
i_-1.9774493_39.8642875_1121,1990,2015,-1.9774493,39.8642875,1121
i_-1.9973657_41.0020694_1217,1990,2015,-1.9973657,41.0020694,1217
i_-105.34_29.28_1289,1998,2000,-105.34,29.28,1289
i_-111.48814_35.17687_2009,2009,2009,-111.48814,35.17687,2009
i_-111.5404017_35.18259349_2057,2009,2009,-111.5404017,35.18259349,2057
i_-111.553_35.188_2086,2009,2009,-111.553,35.188,2086
i_-111.62_35.2_2124,2009,2009,-111.62,35.2,2124
i_-111.623519_35.25562797_2353,2009,2009,-111.623519,35.25562797,2353
i_-111.6241957_35.28223324_2449,2009,2009,-111.6241957,35.28223324,2449
i_-111.635_35.221_2146,2009,2009,-111.635,35.221,2146
i_-111.644_35.138_2124,2009,2009,-111.644,35.138,2124
i_-111.6450672_35.30445837_2727,2009,2009,-111.6450672,35.30445837,2727
i_-111.65_35.18_2108,2009,2009,-111.65,35.18,2108
i_-111.6526151_35.31981852_3250,2009,2009,-111.6526151,35.31981852,3250
i_-111.6721869_35.30256139_2819,2009,2009,-111.6721869,35.30256139,2819
i_-111.673_35.394_2494,2009,2009,-111.673,35.394,2494
i_-111.6738705_34.89598989_1966,2009,2009,-111.6738705,34.89598989,1966
i_-111.6749764_35.38407504_2607,2009,2009,-111.6749764,35.38407504,2607
i_-111.6757087_35.10919188_2122,2009,2009,-111.6757087,35.10919188,2122
i_-111.683_35.125_2107,2009,2009,-111.683,35.125,2107
i_-111.684_35.273_2321,2009,2009,-111.684,35.273,2321
i_-111.688236_35.29233624_2543,2009,2009,-111.688236,35.29233624,2543
i_-111.6949202_34.88468078_1886,2009,2009,-111.6949202,34.88468078,1886
i_-111.7018151_34.88218844_1792,2009,2009,-111.7018151,34.88218844,1792
i_-111.7127802_35.32839629_2808,2009,2009,-111.7127802,35.32839629,2808
i_-111.713_35.267_2245,2009,2009,-111.713,35.267,2245
i_-111.731_35.159_2194,2009,2009,-111.731,35.159,2194
i_-111.748_35.309_2460,2009,2009,-111.748,35.309,2460
i_-111.7796992_35.32626996_2414,2009,2009,-111.7796992,35.32626996,2414
i_-111.788_35.134_2230,2009,2009,-111.788,35.134,2230
i_-111.808_35.059_2177,2009,2009,-111.808,35.059,2177
i_-111.809_35.121_2200,2009,2009,-111.809,35.121,2200
i_-111.834_35.345_2340,2009,2009,-111.834,35.345,2340
i_-112.1649422_36.00582315_2027,2009,2009,-112.1649422,36.00582315,2027
i_-112.1813779_36.00456241_2013,2009,2009,-112.1813779,36.00456241,2013
i_-116.12_46.32_813,1990,2015,-116.12,46.32,813
i_-119.31003_48.00855333_758.3333333,2001,2001,-119.31003,48.00855333,758.3333333
i_-119.63_39.3_1932,1987,1987,-119.63,39.3,1932
i_-121.67_44.42_1032,1995,1995,-121.67,44.42,1032
i_-122.22_44.23_700,1999,1999,-122.22,44.23,700
i_-122.25_37.4_150,2002,2003,-122.25,37.4,150
i_-122.6_44.67_730,1995,1995,-122.6,44.67,730
i_-123.28_44.63_317,1996,1996,-123.28,44.63,317
i_-123.92_44.45_100,1999,2001,-123.92,44.45,100
i_-124_45.05_330,1999,1999,-124,45.05,330
i_-149.416667_68.63333_760,1987,1987,-149.416667,68.63333,760
i_-15.6478333_28.0341667_1130,1990,2015,-15.6478333,28.0341667,1130
i_-152.5_67.5_842,1990,2015,-152.5,67.5,842
i_-155.183_19.4_951,1990,2015,-155.183,19.4,951
i_-155.183_19.533_861,1990,2015,-155.183,19.533,861
i_-155.2149333_19.38413056_1032,1990,2015,-155.2149333,19.38413056,1032
i_-155.25_19.917_960,1990,2015,-155.25,19.917,960
i_-155.26_19.43_1196,1990,2015,-155.26,19.43,1196
i_-155.26_19.43_300,1997,1997,-155.26,19.43,300
i_-155.39972_19.51194_1100,1997,1997,-155.39972,19.51194,1100
i_-155.39972_19.51194_2000,1997,1997,-155.39972,19.51194,2000
i_-155.4591611_20.03683889_770,1990,2015,-155.4591611,20.03683889,770
i_-155.5_20_1110,1990,2015,-155.5,20,1110
i_-157.7725_21.31_800,1992,1992,-157.7725,21.31,800
i_-157.79_21.31_800,1992,1992,-157.79,21.31,800
i_-159.6_22.11_800,1992,1992,-159.6,22.11,800
i_-159.65_22.15_800,1992,1992,-159.65,22.15,800
i_-159.66_22.1_800,1992,1992,-159.66,22.1,800
i_-159.667_22.11_800,1992,1992,-159.667,22.11,800
i_-159.69_22.06_800,1992,1992,-159.69,22.06,800
i_-159.73_22.11_800,1992,1992,-159.73,22.11,800
i_-16.41_28.39_1183,1998,1998,-16.41,28.39,1183
i_-16.512_28.3341667_1722,1998,1998,-16.512,28.3341667,1722
i_-16.6746667_28.1846667_1971,1998,1998,-16.6746667,28.1846667,1971
i_-16.6811667_28.3333333_1038,1998,1998,-16.6811667,28.3333333,1038
i_-16.8321667_28.3306667_834,1998,1998,-16.8321667,28.3306667,834
