level,pred,rsq
1,elv,0.3251557309418897
1,mat,0.32851900457998773
1,matgs,0.32624742569869275
1,tmonthmin,0.32433472583570155
1,tmonthmax,0.3258463122769124
1,ndaysgs,0.3248890455989682
1,mai,0.3240055793447103
1,maigs,0.32667606604602256
1,map,0.32639839964622014
1,pmonthmin,0.32493979943184675
1,mapgs,0.3259115660605465
1,mavgs,0.3265416772519207
1,mav,0.3258838123489856
1,alpha,0.32610313376284894
1,vcmax25,0.32598462548248663
1,jmax25,0.32649334411281844
1,gs_accl,0.3264571274199044
1,aet,0.3280975858341653
1,ai,0.3232854524784384
1,cwdx80,0.3224057615094721
1,gti,0.3256658131821875
1,ndep,0.3220225917656945
1,co2,0.3229184055290747
1,T_BULK_DENSITY,0.32686955501785825
1,AWC_CLASS,0.3256392543468406
1,T_CLAY,0.32642364993926126
1,T_SILT,0.32521397531145496
1,T_SAND,0.3250625896464997
1,T_GRAVEL,0.3255145620143848
1,T_PH_H2O,0.3259596237021547
1,T_TEB,0.3259643815118302
1,T_BS,0.32523305001922487
1,T_CEC_SOIL,0.3265874729240621
1,T_CEC_CLAY,0.3254484503813893
1,T_ECE,0.32430126172629703
1,T_ESP,0.32508614098125826
1,T_CACO3,0.32437553522362494
1,T_OC,0.32533131530529386
1,ORGC,0.32547009724229276
1,TOTN,0.32495575657722053
1,CNrt,0.32631963714616735
1,ALSA,0.32472968181116885
1,PBR,0.3234036268907159
1,TP,0.32584639434557355
1,TK,0.32659141308311074
2,elv,0.3274166417804923
2,matgs,0.3284041052906135
2,tmonthmin,0.3264360416054906
2,tmonthmax,0.3268811705391745
2,ndaysgs,0.32689378181457684
2,mai,0.3257222095553756
2,maigs,0.32742046492141635
2,map,0.3264696703362013
2,pmonthmin,0.32338950706349207
2,mapgs,0.32638306786067767
2,mavgs,0.3264287794082505
2,mav,0.32723550267550955
2,alpha,0.3271443906481987
2,vcmax25,0.3274123553796867
2,jmax25,0.32750580882917396
2,gs_accl,0.32736022767311374
2,aet,0.329939453651209
2,ai,0.3260219200815229
2,cwdx80,0.3236539974063658
2,gti,0.32729356330910475
2,ndep,0.3256232566138737
2,co2,0.3239126553512521
2,T_BULK_DENSITY,0.3278088414706314
2,AWC_CLASS,0.3277675846451676
2,T_CLAY,0.3280276491696901
2,T_SILT,0.3271340895762244
2,T_SAND,0.3260898049381843
2,T_GRAVEL,0.32701589426779093
2,T_PH_H2O,0.3272486618058918
2,T_TEB,0.32730081023941787
2,T_BS,0.32799975149351335
2,T_CEC_SOIL,0.3284440433175197
2,T_CEC_CLAY,0.3272135860633968
2,T_ECE,0.3284616108353043
2,T_ESP,0.327697127691224
2,T_CACO3,0.3280655232965726
2,T_OC,0.32763065605755
2,ORGC,0.32772282948818543
2,TOTN,0.3284119718300815
2,CNrt,0.3294700799088762
2,ALSA,0.328114822983022
2,PBR,0.3275433247962282
2,TP,0.32917173073260986
2,TK,0.32888226922951064
3,elv,0.32677899761330903
3,matgs,0.32728951926884703
3,tmonthmin,0.32811228233610334
3,tmonthmax,0.32837296837192076
3,ndaysgs,0.3290691274748868
3,mai,0.3246614776474326
3,maigs,0.3277827893201645
3,map,0.3284545414651622
3,pmonthmin,0.326767519876315
3,mapgs,0.3276949362501621
3,mavgs,0.32758487316380286
3,mav,0.32876327943738676
3,alpha,0.32623620699478356
3,vcmax25,0.32749835103435826
3,jmax25,0.3279299790671665
3,gs_accl,0.3270236009462863
3,ai,0.3262951530425971
3,cwdx80,0.32412891267637156
3,gti,0.3286116468022438
3,ndep,0.32484206003834476
3,co2,0.32439668257861537
3,T_BULK_DENSITY,0.3277876942594682
3,AWC_CLASS,0.3273543928086609
3,T_CLAY,0.3272529869098425
3,T_SILT,0.32752985206100815
3,T_SAND,0.3282063538540149
3,T_GRAVEL,0.32861268055530807
3,T_PH_H2O,0.3282383922440624
3,T_TEB,0.32725612635161955
3,T_BS,0.32834709240095605
3,T_CEC_SOIL,0.32761908612676305
3,T_CEC_CLAY,0.3278749839657335
3,T_ECE,0.32834109245173093
3,T_ESP,0.3274981303507882
3,T_CACO3,0.3270576052042242
3,T_OC,0.32783645381592685
3,ORGC,0.3275724299476218
3,TOTN,0.3278737646493776
3,CNrt,0.3297054554571155
3,ALSA,0.3292838237175381
3,PBR,0.3274897967359774
3,TP,0.3302103116534087
3,TK,0.32985898833312605
4,elv,0.3298751851244589
4,matgs,0.3294617169335551
4,tmonthmin,0.32790827800491906
4,tmonthmax,0.3290033322735638
4,ndaysgs,0.3283926907264357
4,mai,0.3276093622328701
4,maigs,0.3310457310153012
4,map,0.3294686471452402
4,pmonthmin,0.3276278167095224
4,mapgs,0.329292603471793
4,mavgs,0.32940626649040383
4,mav,0.3315682834116466
4,alpha,0.32859748480391404
4,vcmax25,0.3287764100819274
4,jmax25,0.3292643453946475
4,gs_accl,0.3298505636950263
4,ai,0.3295409991070546
4,cwdx80,0.3284929911109606
4,gti,0.32982061308608807
4,ndep,0.3277147772541855
4,co2,0.3264621609097372
4,T_BULK_DENSITY,0.33119389069061084
4,AWC_CLASS,0.3305542477451433
4,T_CLAY,0.33061222334071005
4,T_SILT,0.331589825667289
4,T_SAND,0.33210081843852785
4,T_GRAVEL,0.3311465044692709
4,T_PH_H2O,0.330688444985338
4,T_TEB,0.33060733500283856
4,T_BS,0.3311212405067307
4,T_CEC_SOIL,0.33163570604657366
4,T_CEC_CLAY,0.33139673363124955
4,T_ECE,0.3309864876190673
4,T_ESP,0.3311015646299851
4,T_CACO3,0.3310275212674827
4,T_OC,0.33178352838573466
4,ORGC,0.3324026326623723
4,TOTN,0.33192183351062216
4,CNrt,0.3322830465244134
4,ALSA,0.3306508819967179
4,PBR,0.32943930214113465
4,TK,0.3327783610953349
5,elv,0.32961660820666994
5,matgs,0.33129083836387313
5,tmonthmin,0.33051738007888576
5,tmonthmax,0.33224936755371776
5,ndaysgs,0.33091808799522426
5,mai,0.3283340616507566
5,maigs,0.33062959186940427
5,map,0.33257639112737875
5,pmonthmin,0.32856723176811986
5,mapgs,0.3318276180789279
5,mavgs,0.33188471931739605
5,mav,0.33211792362536574
5,alpha,0.33156050629659667
5,vcmax25,0.3315260233016076
5,jmax25,0.33159119097630574
5,gs_accl,0.33063520050922174
5,ai,0.33100143304789326
5,cwdx80,0.328626347858038
5,gti,0.33185360790120716
5,ndep,0.32917299167198893
5,co2,0.3288219955935119
5,T_BULK_DENSITY,0.3314553847012912
5,AWC_CLASS,0.33145976074177763
5,T_CLAY,0.33143141297552764
5,T_SILT,0.3303733385756411
5,T_SAND,0.33048977569960736
5,T_GRAVEL,0.3311108070496974
5,T_PH_H2O,0.33102816731405493
5,T_TEB,0.3307786834214868
5,T_BS,0.3313199096610873
5,T_CEC_SOIL,0.33191921605412283
5,T_CEC_CLAY,0.3304973458082564
5,T_ECE,0.33125156706176734
5,T_ESP,0.3307628263560818
5,T_CACO3,0.3315936964934335
5,T_OC,0.3313094514371379
5,ORGC,0.33139183757890683
5,TOTN,0.3311413984766864
5,CNrt,0.3319886431293876
5,ALSA,0.3312917343746267
5,PBR,0.3304207070935345
6,elv,0.3330044532755948
6,matgs,0.33321186806612674
6,tmonthmin,0.33081262384653176
6,tmonthmax,0.330701415208613
6,ndaysgs,0.33121223750883244
6,mai,0.32947285648147995
6,maigs,0.3332729834461498
6,pmonthmin,0.3302130461837915
6,mapgs,0.3314970178990109
6,mavgs,0.3317954826255082
6,mav,0.33365873192120504
6,alpha,0.3319141718935109
6,vcmax25,0.33213990547791067
6,jmax25,0.33349774687006245
6,gs_accl,0.3307193330121417
6,ai,0.33024670957632624
6,cwdx80,0.33096999533117955
6,gti,0.33291077441061423
6,ndep,0.3311079808031077
6,co2,0.33073874933004066
6,T_BULK_DENSITY,0.33370591510583425
6,AWC_CLASS,0.3317874670084297
6,T_CLAY,0.33249200600185097
6,T_SILT,0.33301860835416336
6,T_SAND,0.33331946715411215
6,T_GRAVEL,0.33240618976044695
6,T_PH_H2O,0.33309925604136703
6,T_TEB,0.33418633100339723
6,T_BS,0.33331648660595237
6,T_CEC_SOIL,0.3344742542861426
6,T_CEC_CLAY,0.3344115663313709
6,T_ECE,0.33440399124208336
6,T_ESP,0.333685035603502
6,T_CACO3,0.3324307731129738
6,T_OC,0.3329133072202347
6,ORGC,0.33300080412604194
6,TOTN,0.33246717059155545
6,CNrt,0.33428523938970456
6,ALSA,0.3321874529346322
6,PBR,0.3300108615274886
7,elv,0.3332583489802739
7,matgs,0.3319495893402576
7,tmonthmin,0.3308577140415564
7,tmonthmax,0.33205439012862037
7,ndaysgs,0.3332040494800322
7,mai,0.32962318854674216
7,maigs,0.3327286910898822
7,pmonthmin,0.3299013515056684
7,mapgs,0.3308169130781948
7,mavgs,0.3306901172319442
7,mav,0.3319315789022585
7,alpha,0.3305587885917991
7,vcmax25,0.3326940946170354
7,jmax25,0.3322887534647769
7,gs_accl,0.3337256153471947
7,ai,0.33092410069450867
7,cwdx80,0.33053916249769866
7,gti,0.3328855235641319
7,ndep,0.3305262078328866
7,co2,0.32886669894192183
7,T_BULK_DENSITY,0.33203788858077327
7,AWC_CLASS,0.3313267242538253
7,T_CLAY,0.3328639136561305
7,T_SILT,0.33309879580582424
7,T_SAND,0.3332653874901634
7,T_GRAVEL,0.33275937835286423
7,T_PH_H2O,0.33171147923902544
7,T_TEB,0.3331848799871669
7,T_BS,0.3320512353887036
7,T_CEC_CLAY,0.3330557941382016
7,T_ECE,0.3346554290770145
7,T_ESP,0.33406293686496485
7,T_CACO3,0.33464835814585275
7,T_OC,0.33327641260765734
7,ORGC,0.33495956731460663
7,TOTN,0.33366468044346986
7,CNrt,0.3349471418680029
7,ALSA,0.3339232587553839
7,PBR,0.33172315063123653
8,elv,0.33179101135702704
8,matgs,0.333799936558237
8,tmonthmin,0.3323613073154776
8,tmonthmax,0.33431479417810067
8,ndaysgs,0.332687200881555
8,mai,0.33055377262463553
8,maigs,0.3334399126494365
8,pmonthmin,0.33093038947906794
8,mapgs,0.33177216345300475
8,mavgs,0.33150768020257804
8,mav,0.3332522501733508
8,alpha,0.33203279498632604
8,vcmax25,0.334204407682965
8,jmax25,0.334083032415136
8,gs_accl,0.33265999425871307
8,ai,0.33112833173035794
8,cwdx80,0.33252157684915534
8,gti,0.3335424884070048
8,ndep,0.33218562857864037
8,co2,0.3296186676822649
8,T_BULK_DENSITY,0.3336807218325237
8,AWC_CLASS,0.33336811158480123
8,T_CLAY,0.33343556685127806
8,T_SILT,0.3325296373194137
8,T_SAND,0.33190310366291487
8,T_GRAVEL,0.3318925987562877
8,T_PH_H2O,0.3328675371590989
8,T_TEB,0.3321452786973169
8,T_BS,0.33319081722264826
8,T_CEC_CLAY,0.3340303129124545
8,T_ECE,0.3323073162088808
8,T_ESP,0.33282440065111274
8,T_CACO3,0.33290739969047034
8,T_OC,0.33439885192163826
8,TOTN,0.33391552594042934
8,CNrt,0.3329082465267453
8,ALSA,0.33339244895748044
8,PBR,0.3313069041512668
9,elv,0.33096684346695543
9,matgs,0.3334570725319043
9,tmonthmin,0.3317306253914676
9,tmonthmax,0.33272633531345347
9,ndaysgs,0.33287509788230873
9,mai,0.33153862673627826
9,maigs,0.3346678045474579
9,pmonthmin,0.3322572947664488
9,mapgs,0.33288309271129246
9,mavgs,0.3339534324808646
9,mav,0.3343643798254767
9,alpha,0.33310376193826535
9,vcmax25,0.3339487192876087
9,jmax25,0.3347546424957128
9,gs_accl,0.33332783095191404
9,ai,0.3315703897332345
9,cwdx80,0.33192951829863904
9,gti,0.33361777365167206
9,ndep,0.33094877895521785
9,co2,0.3304615449488055
9,T_BULK_DENSITY,0.3327394407263177
9,AWC_CLASS,0.3325531651066957
9,T_CLAY,0.33218586033728975
9,T_SILT,0.3331027225900141
9,T_SAND,0.33299531436904967
9,T_GRAVEL,0.3336429123681213
9,T_PH_H2O,0.3341745142376598
9,T_TEB,0.33265624806711264
9,T_BS,0.33309172524172476
9,T_CEC_CLAY,0.3329352033319544
9,T_ECE,0.3336529271145438
9,T_ESP,0.33133329717950705
9,T_CACO3,0.3318598378453664
9,TOTN,0.3333942204687616
9,CNrt,0.33428276493519765
9,ALSA,0.3325510218967593
9,PBR,0.33096299660118694
10,elv,0.3313303356516492
10,matgs,0.3325766164589763
10,tmonthmin,0.33137316972262754
10,tmonthmax,0.3329340926136186
10,ndaysgs,0.33305614784935084
10,mai,0.33168755206306766
10,maigs,0.33416628234271584
10,pmonthmin,0.3308905143236851
